ts,kv,compute,throughput,latency,is_prefill,num_seqs,seq_id
22:47:47.107,,,,,True,128,
22:47:47.382,9.6,74,2755.4,0.405801,,,
22:47:47.568,9.6,54,3168.5,0.186562,,,
22:47:47.646,9.6,54,3268.0,0.078508,,,
22:47:47.826,9.6,39,930.0,0.178811,,,
22:47:47.913,9.6,23,3046.7,0.087687,,,
22:47:47.998,9.6,23,2936.5,0.084228,,,
22:47:48.082,9.6,51,3076.3,0.085383,,,
22:47:48.166,9.6,51,3064.1,0.083688,,,
22:47:48.249,19.2,51,3201.2,0.081992,,,
22:47:48.341,19.2,49,3146.8,0.092253,,,
22:47:48.426,19.2,49,3111.8,0.086107,,,
22:47:48.505,19.2,47,3203.5,0.079116,,,
22:47:48.585,19.2,47,3378.9,0.078955,,,
22:47:48.681,19.2,53,2325.1,0.09668,,,
22:47:48.760,19.2,53,3511.0,0.079574,,,
22:47:48.840,19.2,53,2494.8,0.079618,,,
22:47:48.923,19.2,47,3086.6,0.082485,,,
22:47:49.000,19.2,47,3601.5,0.0779,,,
22:47:49.185,19.2,50,783.8,0.184828,,,
22:47:49.265,19.2,50,3252.8,0.079692,,,
22:47:49.358,19.2,21,2772.0,0.09264,,,
22:47:49.449,19.2,21,2706.0,0.091539,,,
22:47:49.543,19.2,47,2751.2,0.093016,,,
22:47:49.632,19.2,47,2747.6,0.089505,,,
22:47:49.713,24.0,48,3203.4,0.080678,,,
22:47:49.791,24.0,48,3384.7,0.078118,,,
22:47:49.875,28.8,53,3189.9,0.084886,,,
22:47:49.957,28.8,53,3157.7,0.081243,,,
22:47:50.051,28.6,53,2550.9,0.094094,,,
22:47:50.055,,,,,True,1,
22:47:50.111,28.7,48,438.1,3.127894,,,
22:47:50.219,28.7,48,2625.5,0.16804,,,
22:47:50.306,28.7,44,2930.1,0.086263,,,
22:47:50.400,28.7,44,2544.4,0.095274,,,
22:47:50.599,28.7,42,2731.0,0.198048,,,
22:47:50.754,28.6,11,2920.4,0.154201,,,
22:47:50.757,,,,,True,1,
22:47:50.813,28.6,11,452.0,3.830264,,,
22:47:50.917,28.6,49,3089.3,0.164327,,,
22:47:50.998,28.6,49,3099.1,0.081235,,,
22:47:51.089,28.6,53,2637.6,0.090341,,,
22:47:51.179,28.7,53,2761.1,0.090513,,,
22:47:51.261,28.7,53,3167.7,0.082287,,,
22:47:51.352,28.6,44,3002.9,0.090615,,,
22:47:51.433,33.4,44,2174.9,0.080373,,,
22:47:51.516,38.1,49,3061.6,0.083167,,,
22:47:51.606,38.1,49,3038.4,0.089891,,,
22:47:51.692,38.1,48,2929.7,0.085407,,,
22:47:51.776,38.0,48,3280.2,0.084664,,,
22:47:51.856,38.0,48,2117.1,0.080479,,,
22:47:51.940,37.9,45,3065.2,0.083363,,,
22:47:52.019,37.9,45,2252.8,0.07978,,,
22:47:52.204,37.9,49,913.4,0.182483,,,
22:47:52.300,37.9,24,2781.8,0.098211,,,
22:47:52.383,37.8,24,3125.9,0.082865,,,
22:47:52.386,,,,,True,1,
22:47:52.447,37.8,24,400.0,5.46451,,,
22:47:52.554,37.8,50,2649.4,0.17098,,,
22:47:52.641,37.9,50,2866.7,0.087186,,,
22:47:52.734,37.9,49,2851.9,0.091955,,,
22:47:52.819,37.9,49,3094.1,0.086339,,,
22:47:52.917,37.9,45,2398.3,0.097332,,,
22:47:52.998,42.3,45,3243.8,0.081658,,,
22:47:53.002,,,,,True,1,
22:47:53.052,42.4,45,248.2,6.068893,,,
22:47:53.150,42.3,47,2968.4,0.151694,,,
22:47:53.231,42.2,47,2118.1,0.081244,,,
22:47:53.235,,,,,True,1,
22:47:53.293,46.8,43,414.8,6.31003,,,
22:47:53.404,46.8,43,2942.4,0.172828,,,
22:47:53.492,46.6,48,3000.8,0.087751,,,
22:47:53.574,46.6,48,2099.0,0.081742,,,
22:47:53.661,46.6,48,2808.5,0.087376,,,
22:47:53.750,46.5,45,3105.1,0.088706,,,
22:47:53.940,46.5,39,760.2,0.190989,,,
22:47:54.100,46.5,15,1172.7,0.160065,,,
22:47:54.190,46.6,15,2783.2,0.088757,,,
22:47:54.277,46.5,44,3098.1,0.086589,,,
22:47:54.357,46.5,44,2188.7,0.080831,,,
22:47:54.447,46.3,44,2937.1,0.090285,,,
22:47:54.451,,,,,True,1,
22:47:54.507,46.3,50,455.9,7.523945,,,
22:47:54.602,46.4,50,2477.4,0.154784,,,
22:47:54.691,46.4,46,2879.1,0.088777,,,
22:47:54.771,50.6,46,3580.1,0.081004,,,
22:47:54.774,,,,,True,1,
22:47:54.826,50.7,46,245.3,7.842729,,,
22:47:54.915,50.1,49,3588.5,0.143448,,,
22:47:54.917,,,,,True,2,
22:47:54.969,50.2,49,506.1,7.985384,,,
22:47:55.065,50.3,49,3110.3,0.149936,,,
22:47:55.153,50.3,45,3083.2,0.087496,,,
22:47:55.240,50.4,45,2962.4,0.088143,,,
22:47:55.325,54.6,52,3022.3,0.083536,,,
22:47:55.328,,,,,True,1,
22:47:55.387,54.6,52,401.6,8.403382,,,
22:47:55.492,54.4,47,2795.9,0.166929,,,
22:47:55.495,,,,,True,1,
22:47:55.556,54.5,47,409.2,8.572269,,,
22:47:55.656,54.1,47,3222.5,0.164501,,,
22:47:55.660,,,,,True,1,
22:47:55.712,54.1,42,234.2,8.728226,,,
22:47:55.928,54.2,25,2639.0,0.272429,,,
22:47:56.020,54.4,25,3003.5,0.091785,,,
22:47:56.106,54.2,44,2900.5,0.085847,,,
22:47:56.186,54.2,44,2189.6,0.080435,,,
22:47:56.276,54.3,50,2945.3,0.089578,,,
22:47:56.367,54.3,50,2939.1,0.090503,,,
22:47:56.458,54.4,50,2831.1,0.091467,,,
22:47:56.550,54.5,44,2784.8,0.092197,,,
22:47:56.637,58.9,44,2975.0,0.087614,,,
22:47:56.729,58.7,53,2932.0,0.091575,,,
22:47:56.733,,,,,True,1,
22:47:56.792,58.8,53,388.2,9.808353,,,
22:47:56.896,58.9,44,2880.2,0.16654,,,
22:47:56.987,63.2,44,2865.5,0.091405,,,
22:47:57.077,62.7,48,2901.0,0.088827,,,
22:47:57.081,,,,,True,1,
22:47:57.134,62.7,48,227.8,10.15039,,,
22:47:57.232,62.5,48,2989.8,0.156148,,,
22:47:57.314,62.3,45,2122.6,0.081894,,,
22:47:57.318,,,,,True,1,
22:47:57.384,62.1,45,338.4,10.400037,,,
22:47:57.479,62.2,46,2327.3,0.164845,,,
22:47:57.639,62.0,46,2958.8,0.160646,,,
22:47:57.643,,,,,True,1,
22:47:57.825,62.1,28,365.5,10.84164,,,
22:47:57.925,61.9,22,3029.1,0.28528,,,
22:47:58.008,62.1,22,2104.8,0.082786,,,
22:47:58.097,32.7,42,2982.8,0.086163,,,
22:47:58.102,,,,,True,112,
22:47:58.341,36.6,66,4971.7,11.35499,,,
22:47:58.420,36.7,66,2189.9,0.326721,,,
22:47:58.511,36.9,32,2915.1,0.089832,,,
22:47:58.598,37.0,32,3074.8,0.087622,,,
22:47:58.686,36.8,50,2775.6,0.087326,,,
22:47:58.767,36.9,50,2120.6,0.081195,,,
22:47:58.861,12.7,50,2620.1,0.094915,,,
22:47:59.101,12.7,43,2862.8,0.239459,,,
22:47:59.183,17.0,43,3244.1,0.082715,,,
22:47:59.264,17.1,43,3167.0,0.081002,,,
22:47:59.344,17.2,53,3221.1,0.080055,,,
22:47:59.423,17.2,53,3264.9,0.079723,,,
22:47:59.518,17.1,52,2833.6,0.093647,,,
22:47:59.521,,,,,True,1,
22:47:59.577,17.2,52,434.4,12.586901,,,
22:47:59.678,21.4,47,3051.9,0.160545,,,
22:47:59.878,21.4,23,798.2,0.200529,,,
22:47:59.880,,,,,True,1,
22:47:59.937,21.5,23,447.5,12.947147,,,
22:48:00.035,21.6,23,3092.2,0.156246,,,
22:48:00.115,21.6,49,3451.5,0.081358,,,
22:48:00.206,21.7,49,3067.1,0.089984,,,
22:48:00.298,21.5,47,2924.5,0.090949,,,
22:48:00.376,21.7,47,2248.6,0.079134,,,
22:48:00.467,21.8,47,2751.8,0.09055,,,
22:48:00.556,21.6,45,3042.3,0.088592,,,
22:48:00.632,21.7,45,2303.9,0.076396,,,
22:48:00.721,21.7,49,2992.6,0.088565,,,
22:48:00.802,25.9,49,2099.7,0.080163,,,
22:48:00.890,25.9,43,2851.7,0.088845,,,
22:48:00.977,25.9,43,3033.8,0.08698,,,
22:48:01.056,25.9,43,2357.1,0.079471,,,
22:48:01.144,25.7,44,2751.6,0.087628,,,
22:48:01.147,,,,,True,1,
22:48:01.204,25.7,44,448.9,14.213966,,,
22:48:01.298,25.9,48,2532.4,0.154224,,,
22:48:01.441,26.0,48,3544.7,0.143863,,,
22:48:01.530,26.1,37,2556.1,0.08792,,,
22:48:01.533,,,,,True,1,
22:48:01.594,30.0,37,388.1,14.603358,,,
22:48:01.691,30.0,44,3207.9,0.160976,,,
22:48:01.883,29.7,24,758.8,0.192694,,,
22:48:01.886,,,,,True,1,
22:48:01.945,29.8,24,404.2,14.955252,,,
22:48:02.048,30.0,24,3023.8,0.16468,,,
22:48:02.136,30.1,42,2970.1,0.087954,,,
22:48:02.225,30.1,42,2857.0,0.088066,,,
22:48:02.306,30.2,47,2186.5,0.081574,,,
22:48:02.387,30.3,47,3239.2,0.082037,,,
22:48:02.482,30.4,52,2409.2,0.093859,,,
22:48:02.485,,,,,True,1,
22:48:02.548,30.5,52,333.7,15.557677,,,
22:48:02.644,34.5,52,3175.4,0.161969,,,
22:48:02.724,34.5,38,2196.7,0.081033,,,
22:48:02.814,34.6,38,2700.1,0.089517,,,
22:48:02.904,34.5,49,2712.3,0.089702,,,
22:48:02.907,,,,,True,1,
22:48:02.969,34.6,49,367.2,15.978927,,,
22:48:03.076,34.6,49,2622.3,0.171783,,,
22:48:03.079,,,,,True,1,
22:48:03.142,34.6,49,396.0,16.152279,,,
22:48:03.246,34.3,49,2928.7,0.170158,,,
22:48:03.323,34.6,38,2253.7,0.077595,,,
22:48:03.411,34.6,38,3183.0,0.086975,,,
22:48:03.490,38.4,54,2201.2,0.079463,,,
22:48:03.573,38.2,54,3105.7,0.082377,,,
22:48:03.576,,,,,True,1,
22:48:03.636,38.4,54,392.9,16.64608,,,
22:48:03.740,37.9,47,2940.2,0.167306,,,
22:48:03.744,,,,,True,1,
22:48:03.796,38.0,47,232.0,16.806186,,,
22:48:04.023,37.8,39,2984.6,0.283743,,,
22:48:04.100,38.0,21,2374.7,0.076451,,,
22:48:04.197,38.1,21,2680.6,0.096896,,,
22:48:04.287,38.2,46,2824.7,0.090397,,,
22:48:04.370,38.1,46,3133.3,0.083097,,,
22:48:04.451,41.9,46,2144.8,0.080847,,,
22:48:04.455,,,,,True,1,
22:48:04.510,42.1,46,429.2,17.519594,,,
22:48:04.614,42.1,46,2979.3,0.163213,,,
22:48:04.704,42.0,47,2985.1,0.089698,,,
22:48:04.707,,,,,True,1,
22:48:04.765,42.2,47,401.3,17.77501,,,
22:48:04.872,42.1,45,3064.0,0.168062,,,
22:48:04.954,42.2,45,2071.0,0.081829,,,
22:48:05.039,42.3,45,2986.9,0.084868,,,
22:48:05.199,42.2,51,3166.7,0.159524,,,
22:48:05.278,42.3,31,2262.5,0.079945,,,
22:48:05.366,42.1,31,2861.8,0.087597,,,
22:48:05.459,42.3,31,1770.2,0.093591,,,
22:48:05.545,42.3,39,3029.8,0.084937,,,
22:48:05.632,46.0,39,1939.5,0.088153,,,
22:48:05.724,46.2,50,2619.9,0.091755,,,
22:48:05.814,46.0,50,2876.0,0.090155,,,
22:48:05.818,,,,,True,1,
22:48:06.000,46.0,39,61.9,19.008528,,,
22:48:06.116,45.9,22,3060.8,0.302125,,,
22:48:06.197,46.0,22,2145.6,0.080796,,,
22:48:06.289,49.8,46,2590.8,0.091769,,,
22:48:06.293,,,,,True,1,
22:48:06.347,49.6,46,481.2,19.356415,,,
22:48:06.440,49.1,46,2377.9,0.150841,,,
22:48:06.444,,,,,True,3,
22:48:06.503,49.0,45,1302.2,19.512717,,,
22:48:06.600,48.7,45,2432.8,0.159303,,,
22:48:06.604,,,,,True,2,
22:48:06.660,48.6,45,965.0,19.670008,,,
22:48:06.757,48.7,38,2472.7,0.158148,,,
22:48:06.847,48.5,38,2981.1,0.088797,,,
22:48:06.928,48.3,45,2214.5,0.080819,,,
22:48:06.932,,,,,True,1,
22:48:06.989,48.1,45,442.8,19.998543,,,
22:48:07.084,47.9,53,2424.3,0.156893,,,
22:48:07.088,,,,,True,1,
22:48:07.143,47.5,53,486.8,20.152534,,,
22:48:07.237,47.5,53,2342.5,0.152758,,,
22:48:07.243,,,,,True,1,
22:48:07.300,47.5,41,412.1,20.309462,,,
