ts,kv,compute,throughput,latency,is_prefill,num_seqs,seq_id
22:48:59.143,,,,,True,128,
22:48:59.418,9.6,45,2810.5,0.404822,,,
22:48:59.598,9.6,82,2807.5,0.179692,,,
22:48:59.684,9.6,22,2970.6,0.087012,,,
22:48:59.849,9.6,22,1041.0,0.164152,,,
22:48:59.958,9.6,21,2815.6,0.109632,,,
22:49:00.043,9.6,21,3046.9,0.084794,,,
22:49:00.131,9.6,53,3073.9,0.087826,,,
22:49:00.222,9.6,53,2812.7,0.090889,,,
22:49:00.306,19.2,48,3078.3,0.085392,,,
22:49:00.401,19.2,48,2691.8,0.094399,,,
22:49:00.486,19.2,47,3000.2,0.084935,,,
22:49:00.575,19.2,47,3113.4,0.088127,,,
22:49:00.657,19.2,49,3405.6,0.083345,,,
22:49:00.749,19.2,49,2695.2,0.090912,,,
22:49:00.834,19.2,49,3017.8,0.084167,,,
22:49:00.914,19.2,42,2169.9,0.080639,,,
22:49:00.999,19.2,42,3108.4,0.085177,,,
22:49:01.082,19.2,52,3261.1,0.082787,,,
22:49:01.261,19.2,27,830.7,0.17891,,,
22:49:01.352,19.2,27,2842.7,0.091224,,,
22:49:01.434,19.2,27,3038.7,0.082709,,,
22:49:01.525,19.2,43,2824.4,0.090533,,,
22:49:01.606,19.2,43,3149.8,0.081795,,,
22:49:01.690,19.2,52,3006.4,0.0835,,,
22:49:01.777,24.0,52,3079.7,0.087335,,,
22:49:01.867,24.0,48,2959.7,0.089584,,,
22:49:01.955,28.8,48,2862.3,0.087403,,,
22:49:02.042,28.8,48,2997.4,0.087555,,,
22:49:02.139,28.6,47,2577.5,0.09712,,,
22:49:02.143,,,,,True,1,
22:49:02.205,28.7,47,392.5,3.188065,,,
22:49:02.298,28.7,49,3544.1,0.159713,,,
22:49:02.386,28.7,49,3089.5,0.087537,,,
22:49:02.474,28.7,46,2752.0,0.087711,,,
22:49:02.675,28.7,22,2521.0,0.201576,,,
22:49:02.817,28.6,22,3618.7,0.142451,,,
22:49:02.819,,,,,True,1,
22:49:02.880,28.6,33,437.3,3.863083,,,
22:49:02.975,28.6,33,2714.5,0.156856,,,
22:49:03.063,28.6,52,2870.0,0.08766,,,
22:49:03.150,28.6,52,3101.2,0.08714,,,
22:49:03.230,28.7,52,3140.4,0.080365,,,
22:49:03.314,28.7,47,3070.6,0.083775,,,
22:49:03.404,28.6,47,2986.5,0.090125,,,
22:49:03.482,33.4,51,2209.9,0.078381,,,
22:49:03.565,38.1,51,3216.2,0.082698,,,
22:49:03.668,38.1,49,2908.9,0.090959,,,
22:49:03.746,38.1,49,3140.5,0.090505,,,
22:49:03.826,38.0,49,3297.0,0.079394,,,
22:49:03.905,38.0,43,2184.0,0.078336,,,
22:49:03.989,37.9,43,3244.9,0.084034,,,
22:49:04.181,37.9,55,749.7,0.191681,,,
22:49:04.266,37.9,18,2885.6,0.085796,,,
22:49:04.354,37.9,18,3112.5,0.087805,,,
22:49:04.444,37.8,18,2813.1,0.090229,,,
22:49:04.448,,,,,True,1,
22:49:04.503,37.8,47,430.4,5.486628,,,
22:49:04.608,37.8,47,2893.7,0.164071,,,
22:49:04.707,37.9,49,2440.7,0.098722,,,
22:49:04.794,37.9,49,2912.4,0.086838,,,
22:49:04.886,37.9,43,2751.4,0.091729,,,
22:49:04.978,37.9,43,2682.0,0.092832,,,
22:49:05.073,42.3,47,2871.3,0.094547,,,
22:49:05.078,,,,,True,1,
22:49:05.131,42.4,47,225.3,6.114008,,,
22:49:05.229,42.3,47,3073.7,0.15557,,,
22:49:05.309,42.2,39,2197.7,0.08002,,,
22:49:05.313,,,,,True,1,
22:49:05.374,46.8,39,391.6,6.357364,,,
22:49:05.486,46.8,47,2696.8,0.178324,,,
22:49:05.571,46.6,47,3104.7,0.083875,,,
22:49:05.651,46.6,50,2174.3,0.080953,,,
22:49:05.851,46.6,22,1709.8,0.197243,,,
22:49:05.935,46.5,22,3054.8,0.085857,,,
22:49:06.014,46.5,22,2214.9,0.079974,,,
22:49:06.170,46.5,49,1165.5,0.154867,,,
22:49:06.263,46.6,32,2765.6,0.093766,,,
22:49:06.349,46.5,32,3057.5,0.085361,,,
22:49:06.430,46.5,32,2174.9,0.080911,,,
22:49:06.529,46.3,43,2357.7,0.099731,,,
22:49:06.533,,,,,True,1,
22:49:06.589,46.3,43,450.2,7.571722,,,
22:49:06.690,46.4,43,2348.4,0.160877,,,
22:49:06.790,46.4,43,2535.9,0.099417,,,
22:49:06.881,50.6,43,3080.8,0.091272,,,
22:49:06.885,,,,,True,1,
22:49:06.942,50.7,43,208.6,7.925274,,,
22:49:07.040,50.1,43,2986.2,0.158573,,,
22:49:07.043,,,,,True,2,
22:49:07.100,50.2,41,426.5,8.082572,,,
22:49:07.198,50.3,41,2945.1,0.158309,,,
22:49:07.292,50.3,50,2894.6,0.093438,,,
22:49:07.378,50.4,50,3033.2,0.087708,,,
22:49:07.477,54.6,48,2547.2,0.097885,,,
22:49:07.481,,,,,True,1,
22:49:07.531,54.6,48,436.5,8.513884,,,
22:49:07.732,54.4,34,876.3,0.255118,,,
22:49:07.736,,,,,True,1,
22:49:07.819,54.5,34,436.0,8.801895,,,
22:49:07.922,54.1,32,3063.5,0.190131,,,
22:49:07.925,,,,,True,1,
22:49:07.978,54.1,32,231.6,8.960478,,,
22:49:08.080,54.2,42,2709.6,0.157295,,,
