ts,kv,compute,throughput,ttft,tpot,is_prefill,num_seqs,seq_id
14:32:19.374,,,,,,True,128,
14:32:19.563,1.8,53,3587.3,0.31253,0.0,,,
14:32:19.618,1.8,53,2332.9,0.0,0.054867,,,
14:32:19.671,1.8,53,2364.5,0.0,0.054135,,,
14:32:19.814,1.8,62,899.9,0.0,0.142238,,,
14:32:19.864,1.8,62,2545.4,0.0,0.050287,,,
14:32:19.916,1.8,32,2478.1,0.0,0.051652,,,
14:32:19.969,1.8,32,2415.7,0.0,0.052987,,,
14:32:20.024,1.8,32,2342.5,0.0,0.054642,,,
14:32:20.077,3.6,32,2369.9,0.0,0.054011,,,
14:32:20.131,3.6,49,2397.6,0.0,0.053387,,,
14:32:20.187,3.6,49,2348.8,0.0,0.054496,,,
14:32:20.243,3.6,49,2254.6,0.0,0.056772,,,
14:32:20.297,3.6,54,2338.3,0.0,0.054739,,,
14:32:20.350,3.5,54,2414.9,0.0,0.053004,,,
14:32:20.354,,,,,,True,1,
14:32:20.400,3.6,54,174.6,1.148975,0.0,,,
14:32:20.455,3.6,54,2446.5,0.0,0.103871,,,
14:32:20.509,3.6,61,2290.7,0.0,0.055878,,,
14:32:20.563,3.6,61,2375.5,0.0,0.053885,,,
14:32:20.613,3.6,61,2604.1,0.0,0.049152,,,
14:32:20.670,3.6,61,2264.2,0.0,0.056532,,,
14:32:20.720,3.6,49,2486.0,0.0,0.051488,,,
14:32:20.772,3.6,49,2521.7,0.0,0.050759,,,
14:32:20.816,3.6,49,2801.6,0.0,0.045689,,,
14:32:20.861,3.6,49,2849.3,0.0,0.044924,,,
14:32:20.902,3.6,67,3138.5,0.0,0.040784,,,
14:32:20.942,5.3,67,3131.1,0.0,0.04088,,,
14:32:20.983,5.3,67,3181.5,0.0,0.040232,,,
14:32:21.023,5.3,67,3143.7,0.0,0.040716,,,
14:32:21.026,,,,,,True,1,
14:32:21.064,5.3,67,220.2,1.813072,0.0,,,
14:32:21.103,5.3,72,3302.9,0.0,0.079627,,,
14:32:21.143,5.3,72,3209.9,0.0,0.039877,,,
14:32:21.183,5.3,72,3214.7,0.0,0.039817,,,
14:32:21.223,5.3,72,3202.1,0.0,0.039974,,,
14:32:21.225,,,,,,True,1,
14:32:21.263,5.3,72,222.7,2.011891,0.0,,,
14:32:21.301,5.3,74,3388.9,0.0,0.078184,,,
14:32:21.341,5.3,74,3168.8,0.0,0.040394,,,
14:32:21.382,5.3,74,3174.4,0.0,0.040323,,,
14:32:21.422,5.3,74,3169.9,0.0,0.04038,,,
14:32:21.462,5.3,74,3202.8,0.0,0.039965,,,
14:32:21.464,,,,,,True,1,
14:32:21.500,5.3,71,236.0,2.248842,0.0,,,
14:32:21.539,5.2,71,3356.7,0.0,0.07627,,,
14:32:21.540,,,,,,True,1,
14:32:21.579,5.2,71,216.9,2.328459,0.0,,,
14:32:21.619,5.3,71,3276.0,0.0,0.080571,,,
14:32:21.660,5.3,71,3131.0,0.0,0.040882,,,
14:32:21.700,5.2,76,3165.4,0.0,0.040437,,,
14:32:21.702,,,,,,True,1,
