ts,kv,compute,throughput,ttft,tpot,is_prefill,num_seqs,seq_id
21:28:20.175,,,,,,True,16,
21:28:20.296,1.2,7,536.2,0.253578,0.0,,,
21:28:20.346,1.2,7,765.9,0.0,0.049872,,,
21:28:20.390,1.2,7,726.2,0.0,0.044649,,,
21:28:20.431,1.2,46,770.5,0.0,0.041147,,,
21:28:20.473,1.2,46,737.8,0.0,0.042073,,,
21:28:20.515,1.2,46,783.5,0.0,0.04134,,,
21:28:20.562,1.2,46,637.0,0.0,0.0475,,,
21:28:20.612,1.2,59,766.7,0.0,0.049821,,,
21:28:20.658,2.4,59,722.2,0.0,0.046523,,,
21:28:20.703,2.4,59,725.7,0.0,0.043796,,,
21:28:20.744,2.4,59,778.7,0.0,0.04139,,,
21:28:20.786,2.4,59,743.9,0.0,0.042188,,,
21:28:20.828,2.4,63,731.4,0.0,0.042169,,,
21:28:20.872,2.4,63,794.9,0.0,0.043811,,,
21:28:20.913,2.4,63,786.0,0.0,0.040359,,,
21:28:20.953,2.4,63,792.4,0.0,0.040759,,,
21:28:20.993,2.4,63,802.7,0.0,0.039849,,,
21:28:21.033,2.4,63,796.7,0.0,0.040447,,,
21:28:21.074,2.4,63,795.4,0.0,0.040259,,,
21:28:21.114,2.4,63,795.2,0.0,0.040224,,,
21:28:21.155,2.4,63,756.5,0.0,0.04133,,,
21:28:21.195,2.4,63,793.4,0.0,0.040146,,,
21:28:21.240,2.4,66,662.0,0.0,0.04492,,,
21:28:21.282,2.4,66,774.7,0.0,0.041857,,,
21:28:21.325,3.6,66,750.8,0.0,0.042923,,,
21:28:21.367,3.6,66,776.5,0.0,0.041652,,,
21:28:21.408,3.6,64,767.4,0.0,0.0414,,,
21:28:21.452,3.6,64,751.6,0.0,0.04357,,,
21:28:21.493,3.6,64,784.3,0.0,0.041035,,,
21:28:21.540,3.6,64,699.6,0.0,0.047163,,,
21:28:21.593,3.5,64,522.3,0.0,0.051919,,,
21:28:21.595,,,,,,True,1,
21:28:21.635,3.5,57,487.5,1.591487,0.0,,,
21:28:21.678,3.5,57,785.6,0.0,0.086608,,,
21:28:21.719,3.5,57,789.3,0.0,0.040896,,,
21:28:21.761,3.5,57,770.6,0.0,0.041111,,,
21:28:21.810,3.5,63,715.5,0.0,0.049398,,,
21:28:21.854,3.5,63,699.9,0.0,0.04358,,,
21:28:21.899,3.5,63,753.9,0.0,0.045985,,,
21:28:21.942,3.5,63,712.2,0.0,0.042933,,,
21:28:21.987,3.6,63,703.6,0.0,0.044337,,,
21:28:22.028,4.2,61,784.3,0.0,0.041238,,,
21:28:22.069,4.7,61,778.7,0.0,0.040918,,,
21:28:22.109,4.7,61,788.3,0.0,0.040663,,,
21:28:22.150,4.7,61,791.5,0.0,0.040559,,,
21:28:22.191,4.7,61,772.6,0.0,0.040874,,,
21:28:22.231,4.7,65,794.7,0.0,0.040344,,,
21:28:22.272,4.7,65,790.9,0.0,0.040462,,,
21:28:22.316,4.6,65,668.6,0.0,0.044105,,,
21:28:22.367,4.6,65,681.1,0.0,0.051242,,,
21:28:22.411,4.6,60,755.2,0.0,0.043962,,,
21:28:22.452,4.6,60,780.3,0.0,0.041111,,,
21:28:22.493,4.5,60,783.4,0.0,0.040961,,,
21:28:22.495,,,,,,True,1,
21:28:22.546,4.5,60,280.6,2.501232,0.0,,,
21:28:22.592,4.5,60,699.6,0.0,0.099083,,,
21:28:22.634,4.5,59,781.3,0.0,0.041701,,,
21:28:22.674,4.5,59,785.7,0.0,0.040662,,,
21:28:22.715,4.6,59,789.1,0.0,0.040528,,,
21:28:22.755,5.1,59,785.9,0.0,0.040493,,,
21:28:22.797,5.7,59,787.1,0.0,0.041186,,,
21:28:22.838,5.7,66,790.8,0.0,0.040702,,,
21:28:22.878,5.7,66,780.9,0.0,0.041099,,,
21:28:22.920,5.7,66,779.9,0.0,0.041129,,,
21:28:22.963,5.7,66,747.8,0.0,0.043431,,,
21:28:23.008,5.7,64,736.4,0.0,0.04545,,,
21:28:23.051,5.7,64,725.7,0.0,0.042779,,,
21:28:23.094,5.7,64,784.0,0.0,0.043043,,,
21:28:23.135,5.7,64,785.1,0.0,0.040669,,,
21:28:23.175,5.7,64,792.4,0.0,0.040495,,,
21:28:23.216,5.7,63,782.6,0.0,0.041097,,,
21:28:23.257,5.7,63,786.7,0.0,0.040653,,,
21:28:23.300,5.7,63,711.0,0.0,0.042848,,,
21:28:23.345,5.7,63,705.0,0.0,0.04493,,,
21:28:23.391,5.8,63,682.7,0.0,0.046311,,,
21:28:23.433,6.3,62,773.4,0.0,0.041664,,,
21:28:23.478,6.9,62,686.8,0.0,0.045465,,,
21:28:23.525,6.9,62,694.2,0.0,0.045768,,,
21:28:23.567,6.9,62,761.7,0.0,0.043019,,,
21:28:23.609,6.9,62,761.8,0.0,0.042444,,,
21:28:23.654,6.9,62,730.8,0.0,0.04442,,,
21:28:23.696,6.9,62,765.0,0.0,0.042002,,,
21:28:23.737,6.9,62,781.0,0.0,0.041134,,,
21:28:23.779,6.9,62,770.4,0.0,0.041439,,,
21:28:23.820,6.9,64,773.1,0.0,0.041268,,,
21:28:23.861,6.9,64,776.7,0.0,0.041162,,,
21:28:23.904,6.9,64,751.6,0.0,0.042242,,,
21:28:23.945,6.9,64,765.6,0.0,0.041983,,,
21:28:23.984,6.9,64,860.7,0.0,0.039228,,,
21:28:24.024,6.9,66,814.7,0.0,0.039741,,,
