ts,kv,compute,throughput,ttft,tpot,is_prefill,num_seqs,seq_id
17:09:58.564,,,,,,True,250,
17:09:59.164,14.5,60,3051.0,0.732188,0.0,,,
17:09:59.679,14.5,8,7723.7,0.0,0.516318,,,
17:09:59.884,14.5,33,5281.1,0.0,0.20492,,,
17:10:00.163,14.5,26,4427.2,0.0,0.278868,,,
17:10:00.535,14.5,17,2291.6,0.0,0.371469,,,
17:10:00.722,14.5,26,7632.7,0.0,0.187698,,,
17:10:01.023,14.5,34,4009.9,0.0,0.301307,,,
17:10:01.313,14.5,32,3483.6,0.0,0.288403,,,
17:10:01.644,29.0,23,3099.6,0.0,0.332038,,,
17:10:01.946,29.0,18,5151.1,0.0,0.300995,,,
17:10:02.212,28.9,27,3257.9,0.0,0.266249,,,
17:10:02.506,28.8,18,1733.4,0.0,0.295591,,,
17:10:02.764,28.7,27,3161.4,0.0,0.256345,,,
17:10:03.044,28.7,27,4533.5,0.0,0.278107,,,
17:10:03.313,28.7,28,7316.8,0.0,0.272315,,,
17:10:03.693,28.7,16,3269.8,0.0,0.378416,,,
17:10:03.940,28.7,29,3346.9,0.0,0.247191,,,
17:10:04.241,28.6,36,2642.7,0.0,0.301043,,,
17:10:04.574,28.6,36,1450.5,0.0,0.332294,,,
17:10:04.781,28.5,17,5995.2,0.0,0.207608,,,
17:10:05.084,28.5,30,3330.0,0.0,0.304109,,,
17:10:05.336,28.5,24,4258.9,0.0,0.250862,,,
17:10:05.779,28.4,9,2053.0,0.0,0.443799,,,
17:10:05.993,28.4,24,5140.9,0.0,0.214428,,,
17:10:06.227,42.5,31,5613.5,0.0,0.233344,,,
17:10:06.462,42.4,27,3760.1,0.0,0.234859,,,
17:10:06.814,42.4,18,3747.5,0.0,0.351191,,,
17:10:07.090,42.4,30,4840.2,0.0,0.272782,,,
17:10:07.327,42.4,36,4275.7,0.0,0.239522,,,
17:10:07.554,42.4,27,3873.7,0.0,0.228841,,,
17:10:07.998,42.2,18,2455.9,0.0,0.443342,,,
17:10:08.216,42.1,28,3981.0,0.0,0.218861,,,
17:10:08.452,42.1,27,3781.1,0.0,0.235732,,,
17:10:08.887,42.0,9,1126.2,0.0,0.433945,,,
17:10:09.175,42.0,27,1835.4,0.0,0.289376,,,
17:10:09.392,42.0,27,4499.2,0.0,0.216385,,,
17:10:09.612,41.9,37,3235.4,0.0,0.220048,,,
17:10:10.047,41.9,9,1819.8,0.0,0.434552,,,
17:10:10.285,41.8,34,3258.9,0.0,0.238789,,,
17:10:10.513,41.8,30,6261.2,0.0,0.227767,,,
17:10:10.760,55.6,26,3765.7,0.0,0.247558,,,
17:10:11.148,55.5,17,7121.0,0.0,0.388501,,,
17:10:11.482,55.4,36,2326.5,0.0,0.33348,,,
17:10:11.708,55.3,27,3854.4,0.0,0.222692,,,
17:10:12.101,55.2,9,1151.8,0.0,0.395765,,,
17:10:12.402,55.2,21,4381.0,0.0,0.301513,,,
17:10:12.626,55.0,31,4867.3,0.0,0.22406,,,
17:10:12.880,54.9,36,4114.9,0.0,0.25352,,,
17:10:13.263,54.9,18,4766.6,0.0,0.378344,,,
17:10:13.545,54.8,39,7407.1,0.0,0.287416,,,
17:10:13.762,54.7,24,5940.2,0.0,0.217163,,,
17:10:14.075,54.5,18,4933.5,0.0,0.310024,,,
17:10:14.462,54.4,9,5061.1,0.0,0.387631,,,
17:10:14.766,54.3,36,4404.7,0.0,0.305375,,,
17:10:15.006,54.1,18,4903.5,0.0,0.240268,,,
17:10:15.235,54.0,27,4604.4,0.0,0.229194,,,
17:10:15.659,67.4,15,2389.1,0.0,0.42373,,,
17:10:15.858,67.3,28,4604.0,0.0,0.199053,,,
17:10:16.177,67.2,21,4016.8,0.0,0.318989,,,
17:10:16.413,67.2,27,5207.4,0.0,0.236867,,,
17:10:16.823,67.2,9,3605.1,0.0,0.409574,,,
17:10:17.115,67.2,37,1689.9,0.0,0.291201,,,
17:10:17.313,67.2,18,5351.2,0.0,0.198782,,,
17:10:17.573,66.9,21,3332.9,0.0,0.259071,,,
17:10:17.964,66.9,9,3333.3,0.0,0.390025,,,
17:10:18.188,66.9,27,5323.9,0.0,0.225605,,,
17:10:18.483,66.6,22,5150.6,0.0,0.295625,,,
17:10:18.734,66.6,27,4055.0,0.0,0.249918,,,
17:10:19.124,66.5,9,1089.0,0.0,0.390445,,,
17:10:19.386,66.4,31,3863.4,0.0,0.262942,,,
17:10:19.765,66.3,33,4260.5,0.0,0.377292,,,
17:10:19.993,66.2,18,4989.8,0.0,0.229513,,,
17:10:20.252,79.2,27,6280.6,0.0,0.258756,,,
17:10:20.680,79.0,20,3429.8,0.0,0.427129,,,
17:10:20.912,78.8,34,6291.1,0.0,0.232847,,,
17:10:21.220,78.6,18,4900.4,0.0,0.304543,,,
17:10:21.490,78.5,21,4294.6,0.0,0.273389,,,
17:10:21.931,78.0,0,3476.1,0.0,0.440697,,,
17:10:22.328,77.8,36,1088.1,0.0,0.395975,,,
17:10:22.549,77.7,9,3417.1,0.0,0.221891,,,
17:10:22.755,77.6,36,5841.1,0.0,0.206735,,,
17:10:22.993,77.4,27,5330.1,0.0,0.237218,,,
17:10:23.428,77.4,9,4572.2,0.0,0.435078,,,
17:10:23.767,77.4,32,4602.8,0.0,0.338824,,,
17:10:23.992,77.4,18,5832.9,0.0,0.224905,,,
17:10:24.228,77.2,27,4357.3,0.0,0.236594,,,
17:10:24.618,77.0,19,951.9,0.0,0.390058,,,
17:10:24.911,76.9,26,3523.2,0.0,0.292312,,,
17:10:25.175,89.6,17,4646.6,0.0,0.264834,,,
17:10:25.409,89.5,30,4174.4,0.0,0.233696,,,
17:10:25.636,89.5,31,3526.5,0.0,0.227371,,,
17:10:26.055,89.2,32,785.6,0.0,0.418292,,,
17:10:26.357,89.1,18,4253.9,0.0,0.302392,,,
17:10:26.576,88.7,27,4764.0,0.0,0.219378,,,
17:10:26.817,88.5,32,3431.6,0.0,0.240179,,,
17:10:27.046,88.3,39,2421.6,0.0,0.228575,,,
17:10:27.510,88.0,0,937.6,0.0,0.464705,,,
17:10:27.798,87.8,18,1785.6,0.0,0.287482,,,
17:10:28.012,87.4,23,4700.7,0.0,0.212326,,,
17:10:28.231,87.0,39,3931.2,0.0,0.220924,,,
