ts,kv,compute,throughput,latency,is_prefill,num_seqs,seq_id
12:16:22.289,,,,,True,256,
12:16:22.608,9.4,94,3986.7,0.558895,,,
12:16:22.691,9.4,94,3076.0,0.083225,,,
12:16:22.775,9.4,63,3054.2,0.083818,,,
12:16:22.859,9.4,63,3071.7,0.083341,,,
12:16:22.944,9.4,54,3002.7,0.085256,,,
12:16:23.026,9.4,54,3099.9,0.082584,,,
12:16:23.107,9.4,56,3177.1,0.080577,,,
12:16:23.187,9.4,56,3170.8,0.080737,,,
12:16:23.361,18.9,45,1462.7,0.175017,,,
12:16:23.447,18.9,45,3011.2,0.085017,,,
12:16:23.535,18.9,37,2928.5,0.087417,,,
12:16:23.623,18.9,37,2924.6,0.087534,,,
12:16:23.712,18.9,53,2872.4,0.089124,,,
12:16:23.793,18.9,53,3133.5,0.081698,,,
12:16:23.877,18.9,53,3051.0,0.083906,,,
12:16:23.963,18.9,45,2982.5,0.085835,,,
12:16:24.048,18.8,45,3047.1,0.084014,,,
12:16:24.052,,,,,True,1,
12:16:24.088,18.8,45,207.5,2.02957,,,
12:16:24.175,18.8,59,3037.4,0.12766,,,
12:16:24.260,18.8,59,3021.9,0.084715,,,
12:16:24.346,18.8,55,2949.3,0.086799,,,
12:16:24.433,18.8,55,2924.8,0.087526,,,
12:16:24.437,,,,,True,1,
12:16:24.474,18.8,55,212.4,2.415226,,,
12:16:24.551,18.8,53,3386.9,0.117953,,,
12:16:24.733,18.8,35,1413.9,0.18106,,,
12:16:24.813,18.7,35,3171.8,0.080711,,,
12:16:24.819,,,,,True,2,
12:16:24.855,18.7,35,411.9,2.796249,,,
12:16:24.936,28.1,58,3251.1,0.122444,,,
12:16:25.023,27.9,58,2943.2,0.08698,,,
12:16:25.028,,,,,True,1,
12:16:25.066,28.0,58,199.1,3.007097,,,
12:16:25.156,28.0,52,2928.9,0.1326,,,
12:16:25.242,28.0,52,2929.9,0.087375,,,
12:16:25.331,28.0,55,2898.9,0.088309,,,
12:16:25.420,28.0,55,2892.6,0.0885,,,
12:16:25.506,27.9,51,2952.0,0.08672,,,
12:16:25.512,,,,,True,1,
12:16:25.555,28.0,51,178.1,3.495896,,,
12:16:25.641,27.8,51,3075.8,0.133757,,,
12:16:25.645,,,,,True,2,
12:16:25.682,27.9,51,405.1,3.623523,,,
12:16:25.772,27.9,55,2947.1,0.131297,,,
12:16:25.860,27.9,55,2902.3,0.088207,,,
12:16:25.952,27.9,52,2791.1,0.091722,,,
12:16:26.148,27.8,24,1300.3,0.196877,,,
12:16:26.153,,,,,True,1,
12:16:26.188,27.9,24,211.9,4.129607,,,
12:16:26.276,27.8,24,3003.4,0.12772,,,
12:16:26.282,,,,,True,1,
12:16:26.320,27.8,56,197.5,4.260372,,,
12:16:26.409,27.8,56,2919.8,0.133241,,,
12:16:26.498,27.8,58,2948.2,0.086832,,,
12:16:26.584,27.9,58,2906.9,0.088068,,,
12:16:26.672,37.0,58,2927.2,0.087457,,,
12:16:26.747,37.0,48,3315.3,0.077218,,,
12:16:26.831,36.7,48,3102.7,0.082508,,,
12:16:26.837,,,,,True,2,
12:16:26.874,36.8,48,398.8,4.815241,,,
12:16:26.964,36.7,60,2914.3,0.13298,,,
12:16:26.969,,,,,True,1,
12:16:27.007,36.7,60,199.0,4.948188,,,
12:16:27.098,36.6,59,2955.4,0.131858,,,
12:16:27.102,,,,,True,1,
12:16:27.139,36.7,59,200.3,5.079694,,,
12:16:27.225,36.7,59,3047.9,0.128914,,,
12:16:27.314,36.7,60,2877.8,0.088956,,,
12:16:27.402,36.7,60,2906.5,0.088078,,,
12:16:27.587,36.7,46,1382.8,0.185137,,,
12:16:27.674,36.8,46,2950.2,0.086774,,,
12:16:27.764,36.7,25,2847.5,0.089904,,,
12:16:27.769,,,,,True,1,
12:16:27.813,36.7,25,176.0,5.753644,,,
12:16:27.900,36.8,61,2998.9,0.136509,,,
12:16:27.987,36.8,61,2944.7,0.086935,,,
12:16:28.076,36.7,61,2896.0,0.088399,,,
12:16:28.081,,,,,True,1,
12:16:28.121,36.7,51,192.6,6.06104,,,
12:16:28.210,36.3,51,2931.1,0.134074,,,
12:16:28.214,,,,,True,3,
12:16:28.250,36.4,51,631.0,6.19113,,,
12:16:28.340,36.5,63,2921.1,0.130425,,,
12:16:28.427,45.3,63,2926.5,0.087477,,,
12:16:28.515,45.3,56,2947.0,0.086867,,,
12:16:28.602,45.3,56,2927.8,0.087436,,,
12:16:28.692,45.2,56,2845.0,0.089984,,,
12:16:28.698,,,,,True,1,
12:16:28.736,45.2,45,195.2,6.676545,,,
12:16:28.825,45.3,45,2945.9,0.133014,,,
12:16:29.012,45.1,61,1358.5,0.188442,,,
12:16:29.015,,,,,True,1,
12:16:29.049,45.2,61,233.7,6.990368,,,
12:16:29.134,45.3,29,3092.9,0.121282,,,
12:16:29.222,45.3,29,2952.6,0.086703,,,
12:16:29.310,45.3,54,2883.6,0.088777,,,
12:16:29.400,45.0,54,2864.8,0.089361,,,
12:16:29.405,,,,,True,2,
12:16:29.442,45.1,54,398.8,7.383069,,,
12:16:29.532,45.2,56,2944.4,0.132077,,,
12:16:29.620,44.9,56,2897.0,0.088368,,,
12:16:29.625,,,,,True,2,
12:16:29.662,45.0,56,403.0,7.602979,,,
12:16:29.755,44.9,50,2847.3,0.134578,,,
12:16:29.759,,,,,True,1,
12:16:29.796,44.9,50,205.1,7.736693,,,
12:16:29.886,44.7,50,2939.9,0.130954,,,
12:16:29.891,,,,,True,1,
12:16:29.927,44.8,55,203.8,7.867888,,,
12:16:30.017,44.6,55,2943.8,0.131114,,,
12:16:30.022,,,,,True,1,
12:16:30.049,44.7,55,252.5,7.990461,,,
12:16:30.130,44.6,63,3299.7,0.113222,,,
12:16:30.135,,,,,True,1,
12:16:30.172,44.6,63,205.4,8.111829,,,
12:16:30.266,53.0,63,2777.9,0.135973,,,
12:16:30.356,52.9,48,2853.0,0.089731,,,
12:16:30.360,,,,,True,1,
12:16:30.395,52.9,48,216.6,8.335233,,,
12:16:30.482,53.0,48,3000.0,0.126883,,,
12:16:30.676,53.1,55,1327.4,0.192855,,,
12:16:30.766,53.2,23,2848.4,0.089874,,,
12:16:30.866,53.3,23,2534.2,0.101017,,,
12:16:30.958,53.4,50,2790.7,0.091733,,,
12:16:31.048,53.5,50,2832.1,0.090392,,,
12:16:31.139,53.5,57,2844.6,0.089994,,,
12:16:31.237,53.6,57,2606.5,0.098217,,,
12:16:31.327,53.6,48,2789.0,0.09179,,,
12:16:31.418,53.7,48,2861.2,0.089473,,,
12:16:31.507,53.7,56,2880.2,0.088882,,,
12:16:31.597,53.8,56,2848.5,0.089873,,,
12:16:31.686,53.4,56,2860.5,0.089494,,,
12:16:31.690,,,,,True,2,
12:16:31.728,53.4,47,403.5,9.668735,,,
12:16:31.819,53.5,47,2909.2,0.132606,,,
12:16:32.019,61.6,38,1280.7,0.199891,,,
12:16:32.024,,,,,True,1,
12:16:32.060,61.6,38,204.0,10.000669,,,
12:16:32.152,61.7,47,2869.2,0.133343,,,
12:16:32.242,61.7,47,2850.3,0.089816,,,
12:16:32.331,61.8,58,2858.5,0.089556,,,
12:16:32.336,,,,,True,1,
12:16:32.373,61.9,58,204.5,10.313226,,,
12:16:32.465,62.0,58,2867.1,0.133294,,,
12:16:32.554,62.0,50,2871.2,0.089161,,,
12:16:32.644,62.2,50,2823.0,0.090683,,,
12:16:32.737,62.3,56,2783.1,0.091985,,,
12:16:32.827,62.4,56,2825.4,0.090605,,,
12:16:32.918,62.2,57,2837.0,0.090236,,,
12:16:32.922,,,,,True,1,
12:16:32.959,62.2,57,205.5,10.898942,,,
