ts,kv,compute,throughput,ttft,tpot,is_prefill,num_seqs,seq_id
14:21:34.137,,,,,,True,64,
14:21:34.243,0.9,0,2416.6,0.233366,0.0,,,
14:21:34.278,0.9,0,1738.1,0.0,0.036823,,,
14:21:34.314,0.9,60,1828.7,0.0,0.034998,,,
14:21:34.352,0.9,60,1700.6,0.0,0.037633,,,
14:21:34.389,0.9,60,1712.1,0.0,0.03738,,,
14:21:34.428,0.9,60,1637.8,0.0,0.039078,,,
14:21:34.465,0.9,60,1712.0,0.0,0.037384,,,
14:21:34.503,0.9,57,1837.7,0.0,0.034826,,,
14:21:34.628,1.8,57,499.2,0.0,0.128197,,,
14:21:34.666,1.8,57,1701.2,0.0,0.037621,,,
14:21:34.703,1.8,32,1723.6,0.0,0.037132,,,
14:21:34.736,1.8,32,1920.2,0.0,0.033331,,,
14:21:34.766,1.8,32,2102.9,0.0,0.030434,,,
14:21:34.768,,,,,,True,1,
14:21:34.808,1.8,32,212.8,0.799174,0.0,,,
14:21:34.843,1.8,32,1911.7,0.0,0.07577,,,
14:21:34.881,1.8,32,1700.7,0.0,0.037632,,,
14:21:34.918,1.8,63,1693.1,0.0,0.0378,,,
14:21:34.955,1.8,63,1727.8,0.0,0.037042,,,
14:21:34.988,1.8,63,1879.0,0.0,0.034061,,,
14:21:35.022,1.8,63,1920.3,0.0,0.033327,,,
14:21:35.059,1.8,63,1757.0,0.0,0.036425,,,
14:21:35.096,1.8,63,1716.1,0.0,0.037293,,,
14:21:35.133,1.8,57,1733.5,0.0,0.036921,,,
14:21:35.170,1.8,57,1721.8,0.0,0.03717,,,
14:21:35.208,1.8,57,1714.7,0.0,0.037324,,,
14:21:35.245,2.7,57,1729.1,0.0,0.037013,,,
14:21:35.282,2.7,57,1718.1,0.0,0.037251,,,
14:21:35.320,2.7,57,1686.1,0.0,0.037958,,,
14:21:35.356,2.7,57,1753.6,0.0,0.036497,,,
14:21:35.393,2.7,57,1729.1,0.0,0.037013,,,
14:21:35.428,2.7,57,1816.3,0.0,0.035237,,,
14:21:35.459,2.7,57,2041.5,0.0,0.03135,,,
14:21:35.493,2.7,57,1953.8,0.0,0.032757,,,
14:21:35.530,2.7,58,1690.7,0.0,0.037855,,,
14:21:35.564,2.7,58,1915.1,0.0,0.033419,,,
14:21:35.600,2.7,58,1768.6,0.0,0.036187,,,
14:21:35.638,2.7,58,1690.0,0.0,0.03787,,,
14:21:35.675,2.7,58,1712.9,0.0,0.037363,,,
14:21:35.713,2.7,61,1718.4,0.0,0.037243,,,
14:21:35.751,2.7,61,1687.0,0.0,0.037938,,,
14:21:35.788,2.7,61,1719.5,0.0,0.037221,,,
14:21:35.825,3.6,61,1721.2,0.0,0.037184,,,
14:21:35.862,3.6,61,1761.5,0.0,0.036333,,,
14:21:35.902,3.6,56,1696.3,0.0,0.03773,,,
14:21:35.940,3.6,56,1578.2,0.0,0.040552,,,
14:21:35.978,3.6,56,1672.9,0.0,0.038257,,,
14:21:36.015,3.5,56,1716.5,0.0,0.037286,,,
14:21:36.019,,,,,,True,1,
14:21:36.057,3.5,56,208.5,2.048311,0.0,,,
14:21:36.093,3.5,56,1855.2,0.0,0.077662,,,
14:21:36.096,,,,,,True,1,
14:21:36.134,3.5,58,212.3,2.125184,0.0,,,
14:21:36.170,3.5,58,1825.2,0.0,0.077459,,,
14:21:36.207,3.5,58,1735.4,0.0,0.036879,,,
14:21:36.248,3.5,58,1581.3,0.0,0.040473,,,
14:21:36.286,3.5,58,1673.2,0.0,0.03825,,,
14:21:36.323,3.5,62,1708.6,0.0,0.037457,,,
14:21:36.361,3.5,62,1723.5,0.0,0.037135,,,
14:21:36.397,3.5,62,1746.5,0.0,0.036646,,,
14:21:36.431,3.5,62,1849.0,0.0,0.034613,,,
14:21:36.465,3.5,62,1885.1,0.0,0.03395,,,
14:21:36.503,4.4,61,1727.4,0.0,0.037051,,,
14:21:36.535,4.4,61,1933.3,0.0,0.033104,,,
14:21:36.570,4.3,61,1874.1,0.0,0.034149,,,
14:21:36.573,,,,,,True,1,
14:21:36.610,4.3,61,218.3,2.601155,0.0,,,
14:21:36.644,4.3,61,1912.6,0.0,0.074682,,,
14:21:36.677,4.3,61,1964.7,0.0,0.032575,,,
14:21:36.711,4.3,66,1831.5,0.0,0.034945,,,
14:21:36.742,4.3,66,2062.5,0.0,0.03103,,,
14:21:36.775,4.3,66,1991.2,0.0,0.032142,,,
14:21:36.812,4.2,66,1773.1,0.0,0.036095,,,
14:21:36.815,,,,,,True,1,
14:21:36.852,4.3,66,214.3,2.84338,0.0,,,
14:21:36.889,4.2,66,1813.3,0.0,0.077287,,,
14:21:36.892,,,,,,True,1,
14:21:36.931,4.2,64,207.9,2.92194,0.0,,,
14:21:36.961,4.2,64,2210.2,0.0,0.072237,,,
14:21:36.996,4.2,64,1833.4,0.0,0.034907,,,
14:21:37.029,4.2,64,1866.3,0.0,0.034293,,,
14:21:37.064,4.2,64,1866.1,0.0,0.034296,,,
14:21:37.098,4.3,64,1859.7,0.0,0.034414,,,
14:21:37.133,4.3,67,1851.4,0.0,0.034568,,,
14:21:37.170,5.1,67,1729.1,0.0,0.037013,,,
14:21:37.208,5.1,67,1723.5,0.0,0.037134,,,
14:21:37.248,5.1,67,1590.1,0.0,0.040248,,,
14:21:37.281,5.1,67,1893.3,0.0,0.033804,,,
14:21:37.316,5.1,59,1869.9,0.0,0.034227,,,
14:21:37.353,5.1,59,1711.3,0.0,0.037399,,,
14:21:37.388,5.1,59,1804.5,0.0,0.035467,,,
14:21:37.424,5.1,59,1811.2,0.0,0.035336,,,
14:21:37.462,5.0,59,1705.6,0.0,0.037524,,,
14:21:37.465,,,,,,True,1,
14:21:37.503,5.0,63,211.8,3.494009,0.0,,,
14:21:37.538,5.0,63,1882.0,0.0,0.076506,,,
14:21:37.572,5.0,63,1820.4,0.0,0.035157,,,
14:21:37.608,5.0,63,1847.8,0.0,0.034636,,,
14:21:37.645,5.1,63,1734.6,0.0,0.036895,,,
14:21:37.682,5.0,63,1734.1,0.0,0.036907,,,
